Order_No	DateOrdered	AffiliateCode	OrderTotal	Tax	Shipping	ShipType	Shipper	Tracking	Freight	Credits	OrderDisc	AddonTotal	Coupon_Code	Cert_Code	PO_Number	AdminCredit	AdminCreditText	GiftCard	Delivery	Comments	offlinePayment	CardType	NameonCard	CardNumber	Expires	AuthNumber	InvoiceNum	Paid	Void	Customer_ID	Billto_FirstName	Billto_LastName	Billto_Company	Billto_Address1	Billto_Address2	Billto_City	Billto_County	Billto_State	Billto_Zip	Billto_Country	Billto_Phone	Billto_Phone2	Billto_Fax	Billto_Email	Billto_Resident	Shipto_FirstName	Shipto_LastName	Shipto_Company	Shipto_Address1	Shipto_Address2	Shipto_City	Shipto_County	Shipto_State	Shipto_Zip	Shipto_Country	Shipto_Phone	Shipto_Phone2	Shipto_Fax	Shipto_Email	Shipto_Resident	Product_ID_1	SKU_1	Name_1	Description_1	Options_1	Addons_1	ProdPrice_1	OptPrice_1	AddonMultP_1	AddonNonMultP_1	Disc_Code_1	DiscAmount_1	Promo_Code_1	PromoQuant_1	PromoAmount_1	Quantity_1	ProdTotal_1	Product_ID_2	SKU_2	Name_2	Description_2	Options_2	Addons_2	ProdPrice_2	OptPrice_2	AddonMultP_2	AddonNonMultP_2	Disc_Code_2	DiscAmount_2	Promo_Code_2	PromoQuant_2	PromoAmount_2	Quantity_2	ProdTotal_2	Product_ID_3	SKU_3	Name_3	Description_3	Options_3	Addons_3	ProdPrice_3	OptPrice_3	AddonMultP_3	AddonNonMultP_3	Disc_Code_3	DiscAmount_3	Promo_Code_3	PromoQuant_3	PromoAmount_3	Quantity_3	ProdTotal_3	Product_ID_4	SKU_4	Name_4	Description_4	Options_4	Addons_4	ProdPrice_4	OptPrice_4	AddonMultP_4	AddonNonMultP_4	Disc_Code_4	DiscAmount_4	Promo_Code_4	PromoQuant_4	PromoAmount_4	Quantity_4	ProdTotal_4
1108	01/09/2007	0	60	0	0	""	""	""	0	0	0	0	""	""	""	0	""	""	""	""	"Offline"	""	""	""		"0"	"1270018240"	0	0	27	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	"Fairfax"	"VA"	"20170"	"US"	"703-709-0795"	""	""	""	"Yes"	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	""	"BC"	"148754"	"CA"	"703-709-0795"	""	""	""	"Yes"	295		"CFWebstore Gift Certificate"	"Purchase a gift certificate, great for Christmas and birthday gifts!"	"Choose One::$30 Gift Certificate"	""	30	0	0	0	""	0	""	0	0	2	60																																																			
1112	01/28/2007	93614	485	27	31.1	"Airmail"	""	""	24	0	0	0	""	""	""	0	""	""	""	""	"Offline"	""	""	""		"0"	"1270012899"	0	0	27	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	"Fairfax"	"VA"	"20170"	"US"	"703-709-0795"	""	""	""	"Yes"	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	""	"BC"	"148754"	"CA"	"703-709-0795"	""	""	""	"Yes"	8	etttyyt6	"Baseball Jersey"	"<p>100% Preshrunk Cotton with 3/4 raglan double needle sleeves. Choose white with black, red or blue sleeves.</p>"	"Color:Yellow, Color:Yellow, Size:Medium"	""	18.95	2	0	0	""	0	""	0	0	1	20.95	12	cfwsfb5-01	"Software Product"	"Buy this software product and download it right now!"	""	""	300	0	0	0	""	0	""	0	0	1	300	4	890546-000042	"Four Product Kit"	"Don't buy <span style=""font-weight: bold; font-style: italic;"">one</span> product, get them all!"	"size:Medium"	""	75.95	4	0	0	""	8	""	0	0	1	71.95	280		"FedEx Test Product"	"This product can be used to test FedEx shipping. It has a default weight of 1 pound, use the add-on field to add additional weight."	""	""	10	0	0	0	""	0	""	0	0	1	10
1118	02/17/2007	0	484.45	0	83.3	"USPS Express Mail Intl. Service"	""	""	0	0	20	0	""	""	""	10	"Credit Added"	""	""	""	"BillUser"	"Visa"	"Mary Jo Sminkey"	"XXXXXXXXXXXX1111"	4/2010	"0"	"1270012737"	0	0	27	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	"Fairfax"	"VA"	"20170"	"US"	"703-709-0795"	""	""	""	"Yes"	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	""	"BC"	"148754"	"CA"	"703-709-0795"	""	""	""	"Yes"	278	890546-000042	"Copy of Four Product Kit"	""	"size:Small, Color:Blue"	""	79.95	0	0	0	""	8	""	0	0	1	71.95	278	890546-000042	"Copy of Four Product Kit"	""	"size:Small, Color:Yellow"	""	79.95	0	0	0	""	8	""	0	0	1	71.95	275	CDXM800	"CDX-M800 CD Receiver"	""	""	""	227.25	0	0	0	""	0	""	0	0	1	227.25	280		"FedEx Test Product"	"This product can be used to test FedEx shipping. It has a default weight of 1 pound, use the add-on field to add additional weight."	""	""	10	0	0	0	""	0	""	2	20	6	40
1123	02/26/2007	0	40	0	0	""	""	""	0	0	0	0	""	""	""	0	""	""	""	""	"AutoRebill"	""	""	""		"0"	"1270016065"	0	0	27	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	"Fairfax"	"VA"	"20170"	"US"	"703-709-0795"	""	""	""	"Yes"	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	""	"BC"	"148754"	"CA"	"703-709-0795"	""	""	""	"Yes"	11		"60 Day Membership"	"Access to our Membership are for a full 60 days! Big savings!"	""	""	40	0	0	0	""	0	""	0	0	1	40																																																			
1124	02/26/2007	0	40	0	0	""	""	""	0	0	0	0	""	""	""	0	""	""	""	""	"AutoRebill"	""	""	""		"0"	"1270019295"	0	0	27	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	"Fairfax"	"VA"	"20170"	"US"	"703-709-0795"	""	""	""	"Yes"	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	""	"BC"	"148754"	"CA"	"703-709-0795"	""	""	""	"Yes"	11		"60 Day Membership"	"Access to our Membership are for a full 60 days! Big savings!"	""	""	40	0	0	0	""	0	""	0	0	1	40																																																			
1125	02/26/2007	0	40	0	0	""	""	""	0	0	0	0	""	""	""	0	""	""	""	""	"AutoRebill"	""	""	""		"0"	"1270013319"	0	0	27	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	"Fairfax"	"VA"	"20170"	"US"	"703-709-0795"	""	""	""	"Yes"	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	""	"BC"	"148754"	"CA"	"703-709-0795"	""	""	""	"Yes"	11		"60 Day Membership"	"Access to our Membership are for a full 60 days! Big savings!"	""	""	40	0	0	0	""	0	""	0	0	1	40																																																			
1126	02/28/2007	0	200.3	8.4	0	"Freight"	""	""	48	0	0	0	""	""	""	0	""	""	""	""	"Offline"	""	""	""		"0"	"1270015350"	0	0	27	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	"Fairfax"	"VA"	"20170"	"US"	"703-709-0795"	""	""	""	"Yes"	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	""	"BC"	"148754"	"CA"	"703-709-0795"	""	""	""	"Yes"	4	890546-000042	"Four Product Kit"	"Don't buy <span style=""font-weight: bold; font-style: italic;"">one</span> product, get them all!"	"size:Medium"	""	79.95	0	0	0	""	8	""	0	0	1	71.95	4	890546-000042	"Four Product Kit"	"Don't buy <span style=""font-weight: bold; font-style: italic;"">one</span> product, get them all!"	"size:Large"	""	79.95	0	0	0	""	8	""	0	0	1	71.95																																		
1128	02/28/2007	0	200.3	8.4	0	"Freight"	""	""	48	0	0	0	""	""	""	0	""	""	""	""	"BillUser"	"Visa"	"Mary Jo Sminkey"	"XXXXXXXXXXXX1111"	4/2010	"0"	"1270013859"	0	0	27	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	"Fairfax"	"VA"	"20170"	"US"	"703-709-0795"	""	""	""	"Yes"	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	""	"BC"	"148754"	"CA"	"703-709-0795"	""	""	""	"Yes"	4	890546-000042	"Four Product Kit"	"Don't buy <span style=""font-weight: bold; font-style: italic;"">one</span> product, get them all!"	"size:Extra Large"	""	79.95	0	0	0	""	8	""	0	0	1	71.95	4	890546-000042	"Four Product Kit"	"Don't buy <span style=""font-weight: bold; font-style: italic;"">one</span> product, get them all!"	"size:Small"	""	79.95	0	0	0	""	8	""	0	0	1	71.95																																		
1129	03/01/2007	0	191.9	0	0	"Freight"	""	""	48	0	0	0	""	""	""	0	""	""	""	""	"Offline"	""	""	""		"0"	"1270019547"	0	0	27	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	"Fairfax"	"VA"	"20170"	"US"	"703-709-0795"	""	""	""	"Yes"	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	""	"BC"	"148754"	"CA"	"703-709-0795"	""	""	""	"Yes"	4	890546-000042	"Four Product Kit"	"Don't buy <span style=""font-weight: bold; font-style: italic;"">one</span> product, get them all!"	"size:Extra Large"	""	79.95	0	0	0	""	8	""	0	0	1	71.95	4	890546-000042	"Four Product Kit"	"Don't buy <span style=""font-weight: bold; font-style: italic;"">one</span> product, get them all!"	"size:Medium"	""	79.95	0	0	0	""	8	""	0	0	1	71.95																																		
1130	03/08/2007	0	40	0	0	""	""	""	0	0	0	0	""	""	""	0	""	""	""	""	"Offline"	""	""	""		"0"	"1270017476"	0	0	27	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	"Fairfax"	"VA"	"20170"	"US"	"703-709-0795"	""	""	""	"Yes"	"Mary Jo"	"Sminkey"	""	"415 Florida Ave"	""	"Herndon"	""	"BC"	"148754"	"CA"	"703-709-0795"	""	""	""	"Yes"	295		"CFWebstore Gift Certificate"	"Purchase a gift certificate, great for Christmas and birthday gifts!"	"Amount:$30 Gift Certificate"	""	0	30	0	0	""	0	""	0	0	1	30	295		"CFWebstore Gift Certificate"	"Purchase a gift certificate, great for Christmas and birthday gifts!"	"Amount:$10 Gift Certificate"	""	0	10	0	0	""	0	""	0	0	1	10																																		
